filename,source_url,description,row_count,columns,date_range,data_type,key_elasticity_columns,status,note
choice_catsup.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Catsup.html,"2,798 purchase occasions across four catsup SKUs, carrying display and feature flags alongside price.",2798,14,scanner panel,brand-choice panel,"choice,price.*,disp.*,feat.*",downloaded,"Ecdat::Catsup — GPL (>= 2). Jain, Vilcassim & Chintagunta (1994). Ecdat::Catsup."
choice_tuna.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Tuna.html,"13,705 purchase occasions across five canned tuna products -- the largest choice panel here.",13705,8,scanner panel,brand-choice panel,"Tuna.choice,price.skw,price.cosw,price.sko,price.coso,price.pw",downloaded,Ecdat::Tuna — GPL (>= 2). Chintagunta (2002)-style tuna panel. Ecdat::Tuna.
choice_yogurt.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Yogurt.html,"2,412 purchase occasions across four yogurt brands, with feature-advertising flags.",2412,10,scanner panel,brand-choice panel,"choice,price.*,feat.*",downloaded,"Ecdat::Yogurt — GPL (>= 2). Jain, Vilcassim & Chintagunta (1994). Ecdat::Yogurt."
choice_crackers.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Cracker.html,"3,292 purchase occasions across four cracker brands, with display and feature flags.",3292,14,scanner panel,brand-choice panel,"choice,price.*,disp.*,feat.*",downloaded,"Ecdat::Cracker — GPL (>= 2). Jain, Vilcassim & Chintagunta (1994). Ecdat::Cracker."
scanner_data_kaggle.csv,https://www.kaggle.com/datasets/marian447/retail-scanner-data,"64,682 transactions of 5,242 SKUs from 22,625 customers over one year.",,,,transaction,"Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount",manual_required,"Kaggle API returned 403 (unauthenticated). Configure ~/.kaggle/kaggle.json, then run `python -m src.data_loader`."
retail_transactions.csv,https://www.kaggle.com/datasets/prasad22/retail-transactions-dataset,Multi-store retail transactions; price and quantity at transaction level.,,,,transaction,"Transaction_ID,Date,Store_ID,Product_ID,Quantity,Price,Category",manual_required,"Kaggle API returned 403 (unauthenticated). Configure ~/.kaggle/kaggle.json, then run `python -m src.data_loader`."
retail_price_dataset.csv,https://www.kaggle.com/datasets/saibattula/retail-price-dataset-sales-data,"Store-level sales with pricing data, weekly/periodic aggregation.",,,,weekly,"Date,Store_ID,Product_ID,Price,Quantity_Sold,Category",manual_required,"Kaggle API returned 403 (unauthenticated). Configure ~/.kaggle/kaggle.json, then run `python -m src.data_loader`."
retail_store_transactions.csv,https://www.kaggle.com/datasets/marian447/retail-store-sales-transactions,Store scanner data formatted for analysis (transaction or weekly level).,,,,transaction,"Date,Store_ID,Product_ID,Quantity,Price",manual_required,"Kaggle API returned 403 (unauthenticated). Configure ~/.kaggle/kaggle.json, then run `python -m src.data_loader`."
dominicks_combined.csv,https://www.chicagobooth.edu/research/kilts/datasets/dominicks,"Raw Dominick's Finer Foods scanner data (1989-1997, 26 categories, ~100 Chicago-area stores, UPC-level, weekly, with promotion flags and built-in price experiments). Requires manual academic registration with the Kilts Center -- no API, not scriptable from here.",,,,weekly,"Date/Week,Store_ID,UPC,Quantity_Sold,Price,Promotion_Flag",manual_required,"Register at the Kilts Center URL above, download SAS/CSV extracts, place in data/csv/."
walmart_sales_weekly.csv,https://www.kaggle.com/c/competitive-data-science-predict-future-sales,"45 stores, weekly sales by department, with Holiday/Temperature/FuelPrice/CPI/Unemployment/MarkDown features.",,,,weekly,"Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,CPI,Unemployment",manual_required,Kaggle competition dataset -- requires competition-join + Kaggle auth (see download_kaggle_dataset).
efood_elasticities.csv,https://doi.org/10.7910/DVN/OXZ0H6,"Pre-calculated income/price elasticities of food demand across 22 developing countries (Bangladesh, Ethiopia, Indonesia, Kenya, Myanmar, Malawi, Nigeria, Pakistan, Rwanda, etc.), 2000-2023, 23 files (1 summary xlsx + per-country/year .tab files).",,,,aggregated,"Country,Product,Income_Elasticity,Price_Elasticity,Segment",manual_required,"Re-verified: NOT a WAF bot-challenge -- GET https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OXZ0H6 returns clean 200 JSON with full file metadata. The actual block is a one-time Dataverse 'guestbook' form (name/email/institution) required before any file downloads -- a 400 response names the guestbook explicitly. Fill the guestbook once at the dataset page (URL above), then files are downloadable normally; this is closer to free registration than a hard gate."
cheese.csv,(no verifiable public source found),"Small volume/price/marketing-activity dataset for prototyping. The Dominick's raw data does include a cheese category, but the Monash reformatted archive used for monash_dominicks.csv anonymizes series (T1, T2, ...) with no category label, so a cheese-only subset can't be recovered from it. Left undownloaded rather than fabricated.",,,,aggregated,"Retailer,Volume,Price,Display/Marketing_Activity",manual_required,"Extract the cheese category from a registered Kilts Center Dominick's download, if/when available."
competition_data.csv,(no concrete source given in task spec),Weekly price/quantity/competitor-price data.,,,,weekly,"Fiscal_Week_ID,Store_ID,Item_ID,Price,Item_Quantity,Sales_Amount,Competition_Price",manual_required,No resolvable URL was provided for this dataset; needs a specific source before it can be fetched.
